,Delay
1,0.11626172065734863
2,0.11571407318115234
3,0.11050105094909668
4,0.10642695426940918
5,0.10989999771118164
6,0.11308503150939941
7,0.11004924774169922
8,0.10867571830749512
9,0.10985517501831055
10,0.11138105392456055
11,0.1124420166015625
12,0.10976672172546387
13,0.1059269905090332
14,0.10672426223754883
15,0.10471105575561523
16,0.10573196411132812
17,0.10990595817565918
18,0.10826396942138672
19,0.11311578750610352
20,0.10690116882324219
21,0.1076817512512207
22,0.10831212997436523
23,0.11458611488342285
24,0.11726713180541992
25,0.11365818977355957
26,0.11229586601257324
27,0.10668492317199707
28,0.11187481880187988
29,0.10928010940551758
30,0.10831522941589355
31,0.10701608657836914
32,0.10436010360717773
33,0.1074528694152832
34,0.10996508598327637
35,0.11357593536376953
36,0.12401676177978516
37,0.11004424095153809
38,0.1083991527557373
39,0.11352705955505371
40,0.1090090274810791
